"zip","type","primary_city","state","county","latitude","longitude","population"
"77477","STANDARD","Stafford","TX","Fort Bend County",29.62,-95.56,27717
"77478","STANDARD","Sugar Land","TX","Fort Bend County",29.61,-95.61,70768
"77479","STANDARD","Sugar Land","TX","Fort Bend County",29.61,-95.61,68786
"77480","STANDARD","Sweeny","TX","Brazoria County",29.04,-95.69,6714
"77482","STANDARD","Van Vleck","TX","Matagorda County",29.03,-95.88,2208
"77483","STANDARD","Wadsworth","TX","Matagorda County",28.83,-95.93,424
"77484","STANDARD","Waller","TX","Harris County",30.05,-95.92,9675
"77485","STANDARD","Wallis","TX","Austin County",29.63,-96.06,2863
"77486","STANDARD","West Columbia","TX","Brazoria County",29.14,-95.64,6567
"77488","STANDARD","Wharton","TX","Wharton County",29.31,-96.09,12277
"77489","STANDARD","Missouri City","TX","Fort Bend County",29.57,-95.53,33643
"77493","STANDARD","Katy","TX","Harris County",29.79,-95.82,19175
"77494","STANDARD","Katy","TX","Fort Bend County",29.79,-95.82,36229
"77498","STANDARD","Sugar Land","TX","Fort Bend County",29.63,-95.65,2908
"77502","STANDARD","Pasadena","TX","Harris County",29.66,-95.15,32924
"77503","STANDARD","Pasadena","TX","Harris County",29.66,-95.15,21081
"77504","STANDARD","Pasadena","TX","Harris County",29.66,-95.15,17822
"77505","STANDARD","Pasadena","TX","Harris County",29.66,-95.15,22730
"77506","STANDARD","Pasadena","TX","Harris County",29.66,-95.15,30537
"77507","STANDARD","Pasadena","TX","Harris County",29.66,-95.15,217
"77510","STANDARD","Santa Fe","TX","Galveston County",29.38,-95.09,12995
"77511","STANDARD","Alvin","TX","Brazoria County",29.43,-95.24,38336
"77514","STANDARD","Anahuac","TX","Chambers County",29.76,-94.67,5168
"77515","STANDARD","Angleton","TX","Brazoria County",29.16,-95.42,23535
"77517","STANDARD","Santa Fe","TX","Galveston County",29.38,-95.09,5584
"77518","STANDARD","Bacliff","TX","Galveston County",29.5,-94.99,7651
"77519","STANDARD","Batson","TX","Hardin County",30.24,-94.6,984
"77520","STANDARD","Baytown","TX","Harris County",29.74,-94.96,48574
"77521","STANDARD","Baytown","TX","Harris County",29.74,-94.96,40075
"77523","STANDARD","Baytown","TX","Chambers County",29.76,-94.87,1238
"77530","STANDARD","Channelview","TX","Harris County",29.78,-95.11,29267
"77531","STANDARD","Clute","TX","Brazoria County",29.02,-95.39,13654
"77532","STANDARD","Crosby","TX","Harris County",29.91,-95.05,23106
